"Label (Grouping)","HOUSEHOLDS","HOUSEHOLDS!!Total households","HOUSEHOLDS!!Average household size","FAMILIES","FAMILIES!!Total families","FAMILIES!!Average family size","AGE OF OWN CHILDREN","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years only","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years and 6 to 17 years","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!6 to 17 years only","Total households","Total households!!SELECTED HOUSEHOLDS BY TYPE","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people 60 years and over","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Householder living alone","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Householder living alone!!65 years and over","Total households!!UNITS IN STRUCTURE","Total households!!UNITS IN STRUCTURE!!1-unit structures","Total households!!UNITS IN STRUCTURE!!2-or-more-unit structures","Total households!!UNITS IN STRUCTURE!!Mobile homes and all other types of units","Total households!!HOUSING TENURE","Total households!!HOUSING TENURE!!Owner-occupied housing units","Total households!!HOUSING TENURE!!Renter-occupied housing units"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","276,864","3.27","","276,864","3.12","","136,199","18.3%","20.7%","61.0%","276,864","","60.9%","32.5%","(X)","(X)","(X)","","65.1%","21.1%","13.8%","","52.6%","47.4%"
"        Margin of Error","","±7,973","±0.07","","±7,973","±0.06","","±6,655","±2.2","±2.1","±2.7","±7,973","","±1.6","±1.5","(X)","(X)","(X)","","±1.7","±1.6","±1.2","","±1.8","±1.8"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","707,460","1.18","","(X)","(X)","","(X)","(X)","(X)","(X)","707,460","","0.6%","48.0%","37.2%","86.6%","34.8%","","59.8%","27.8%","12.4%","","56.2%","43.8%"
"        Margin of Error","","±14,662","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±14,662","","±0.2","±1.2","±1.0","±0.8","±1.0","","±1.0","±0.9","±0.6","","±1.0","±1.0"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","274,574","2.56","","175,789","3.16","","76,129","22.4%","19.8%","57.8%","274,574","","30.8%","36.0%","26.5%","27.8%","8.7%","","70.5%","26.0%","3.5%","","66.1%","33.9%"
"        Margin of Error","","±3,261","±0.03","","±4,082","±0.05","","±3,130","±2.7","±2.1","±2.7","±3,261","","±1.2","±0.9","±0.7","±1.3","±0.8","","±1.3","±1.2","±0.5","","±1.5","±1.5"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","129,511","3.26","","129,511","3.21","","50,621","23.3%","22.2%","54.6%","129,511","","42.2%","37.2%","(X)","(X)","(X)","","84.9%","12.8%","2.3%","","78.6%","21.4%"
"        Margin of Error","","±4,096","±0.05","","±4,096","±0.05","","±2,785","±3.4","±2.6","±3.3","±4,096","","±2.0","±1.6","(X)","(X)","(X)","","±1.6","±1.6","±0.6","","±1.9","±1.9"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","17,440","3.42","","17,440","2.99","","9,317","20.6%","8.0%","71.3%","17,440","","60.1%","32.3%","(X)","(X)","(X)","","73.3%","21.3%","5.5%","","71.7%","28.3%"
"        Margin of Error","","±1,977","±0.21","","±1,977","±0.18","","±1,610","±7.9","±3.4","±8.3","±1,977","","±6.8","±5.6","(X)","(X)","(X)","","±5.6","±5.9","±3.0","","±5.3","±5.3"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","28,838","3.39","","28,838","3.08","","16,191","20.7%","19.1%","60.1%","28,838","","65.2%","25.3%","(X)","(X)","(X)","","59.5%","35.7%","4.7%","","52.5%","47.5%"
"        Margin of Error","","±2,564","±0.15","","±2,564","±0.14","","±2,186","±4.8","±5.0","±6.3","±2,564","","±5.0","±3.6","(X)","(X)","(X)","","±5.5","±5.4","±2.1","","±5.4","±5.4"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","98,785","1.26","","(X)","(X)","","(X)","(X)","(X)","(X)","98,785","","0.8%","38.3%","27.3%","77.3%","24.1%","","54.3%","41.2%","4.5%","","52.7%","47.3%"
"        Margin of Error","","±4,167","±0.03","","(X)","(X)","","(X)","(X)","(X)","(X)","±4,167","","±0.4","±2.3","±2.1","±2.3","±2.1","","±2.4","±2.4","±1.1","","±2.7","±2.7"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,850,377","2.53","","1,843,530","3.10","","717,526","19.4%","20.9%","59.7%","2,850,377","","28.4%","43.7%","34.2%","27.2%","11.7%","","71.4%","20.4%","8.2%","","67.4%","32.6%"
"        Margin of Error","","±11,519","±0.01","","±15,179","±0.02","","±11,298","±1.0","±0.9","±1.1","±11,519","","±0.4","±0.3","±0.2","±0.5","±0.3","","±0.5","±0.4","±0.3","","±0.5","±0.5"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,332,270","3.16","","1,332,270","3.14","","472,925","20.1%","21.8%","58.1%","1,332,270","","38.4%","45.7%","(X)","(X)","(X)","","85.2%","7.9%","6.9%","","82.6%","17.4%"
"        Margin of Error","","±14,065","±0.02","","±14,065","±0.02","","±10,668","±1.1","±1.2","±1.4","±14,065","","±0.7","±0.5","(X)","(X)","(X)","","±0.5","±0.5","±0.4","","±0.6","±0.6"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","174,058","3.19","","174,058","2.78","","80,190","22.1%","18.1%","59.9%","174,058","","54.1%","30.3%","(X)","(X)","(X)","","70.6%","20.9%","8.5%","","57.9%","42.1%"
"        Margin of Error","","±9,073","±0.08","","±9,073","±0.07","","±6,104","±3.5","±3.1","±3.8","±9,073","","±2.4","±2.5","(X)","(X)","(X)","","±2.7","±2.5","±1.3","","±2.5","±2.5"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","337,202","3.36","","337,202","3.09","","164,411","16.2%","19.6%","64.2%","337,202","","58.6%","32.7%","(X)","(X)","(X)","","66.5%","24.7%","8.8%","","51.6%","48.4%"
"        Margin of Error","","±11,867","±0.06","","±11,867","±0.05","","±7,531","±1.8","±1.8","±2.1","±11,867","","±1.3","±1.5","(X)","(X)","(X)","","±1.6","±1.5","±1.1","","±1.9","±1.9"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,006,847","1.29","","(X)","(X)","","(X)","(X)","(X)","(X)","1,006,847","","0.7%","47.0%","37.2%","77.0%","33.0%","","55.0%","35.5%","9.5%","","54.3%","45.7%"
"        Margin of Error","","±15,822","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±15,822","","±0.2","±0.8","±0.8","±0.9","±0.8","","±0.9","±1.0","±0.5","","±1.0","±1.0"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,216,207","2.44","","777,933","3.06","","315,961","20.7%","21.7%","57.7%","1,216,207","","29.7%","41.6%","31.5%","30.8%","12.2%","","72.0%","17.4%","10.6%","","66.5%","33.5%"
"        Margin of Error","","±8,435","±0.02","","±11,579","±0.03","","±8,455","±1.3","±1.3","±1.7","±8,435","","±0.7","±0.5","±0.4","±0.7","±0.5","","±0.7","±0.5","±0.4","","±0.7","±0.7"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","572,596","3.10","","572,596","3.08","","210,731","20.5%","22.2%","57.4%","572,596","","40.3%","41.4%","(X)","(X)","(X)","","84.8%","5.2%","10.0%","","83.6%","16.4%"
"        Margin of Error","","±10,329","±0.03","","±10,329","±0.03","","±6,686","±1.5","±1.8","±1.8","±10,329","","±1.0","±0.8","(X)","(X)","(X)","","±0.8","±0.6","±0.7","","±1.0","±1.0"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","57,647","3.07","","57,647","2.73","","26,799","19.8%","14.8%","65.4%","57,647","","54.4%","29.8%","(X)","(X)","(X)","","64.8%","17.2%","18.1%","","58.2%","41.8%"
"        Margin of Error","","±4,324","±0.14","","±4,324","±0.12","","±3,401","±4.0","±4.4","±5.5","±4,324","","±4.3","±3.6","(X)","(X)","(X)","","±4.3","±3.6","±3.1","","±4.2","±4.2"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","147,690","3.31","","147,690","3.12","","78,431","21.5%","22.7%","55.8%","147,690","","64.3%","29.9%","(X)","(X)","(X)","","67.0%","20.6%","12.4%","","49.4%","50.6%"
"        Margin of Error","","±6,540","±0.11","","±6,540","±0.10","","±5,117","±3.0","±2.7","±3.7","±6,540","","±1.9","±2.0","(X)","(X)","(X)","","±2.7","±2.3","±1.6","","±2.8","±2.8"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","438,274","1.19","","(X)","(X)","","(X)","(X)","(X)","(X)","438,274","","0.8%","47.4%","36.3%","85.5%","34.0%","","57.8%","32.3%","9.9%","","51.0%","49.0%"
"        Margin of Error","","±10,059","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±10,059","","±0.3","±1.3","±1.1","±1.1","±1.2","","±1.4","±1.2","±0.8","","±1.5","±1.5"
"California","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","13,550,586","2.82","","9,150,804","3.39","","3,774,330","19.4%","19.7%","60.9%","13,550,586","","31.9%","41.9%","32.0%","24.3%","9.9%","","65.2%","31.3%","3.5%","","55.8%","44.2%"
"        Margin of Error","","±19,485","±0.01","","±33,105","±0.01","","±27,176","±0.4","±0.4","±0.5","±19,485","","±0.2","±0.1","±0.1","±0.2","±0.1","","±0.2","±0.2","±0.1","","±0.2","±0.2"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","6,516,115","3.51","","6,516,115","3.46","","2,657,802","20.6%","20.1%","59.3%","6,516,115","","44.4%","41.9%","(X)","(X)","(X)","","79.7%","17.6%","2.7%","","70.3%","29.7%"
"        Margin of Error","","±34,316","±0.01","","±34,316","±0.01","","±22,675","±0.4","±0.4","±0.5","±34,316","","±0.3","±0.3","(X)","(X)","(X)","","±0.3","±0.3","±0.1","","±0.3","±0.3"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","870,396","3.50","","870,396","3.09","","343,835","20.5%","19.8%","59.8%","870,396","","49.5%","36.9%","(X)","(X)","(X)","","64.2%","31.9%","3.9%","","46.1%","53.9%"
"        Margin of Error","","±15,025","±0.04","","±15,025","±0.03","","±10,160","±1.3","±1.6","±1.7","±15,025","","±0.8","±1.0","(X)","(X)","(X)","","±1.1","±1.1","±0.4","","±1.1","±1.1"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,764,293","3.58","","1,764,293","3.31","","772,693","14.7%","18.5%","66.8%","1,764,293","","54.3%","39.1%","(X)","(X)","(X)","","60.7%","35.6%","3.7%","","43.6%","56.4%"
"        Margin of Error","","±25,956","±0.03","","±25,956","±0.02","","±16,925","±0.7","±0.9","±1.1","±25,956","","±0.6","±0.6","(X)","(X)","(X)","","±0.7","±0.7","±0.3","","±0.7","±0.7"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,399,782","1.35","","(X)","(X)","","(X)","(X)","(X)","(X)","4,399,782","","0.8%","44.1%","34.8%","74.9%","30.4%","","45.8%","49.8%","4.5%","","41.2%","58.8%"
"        Margin of Error","","±33,125","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±33,125","","±0.1","±0.3","±0.3","±0.4","±0.3","","±0.5","±0.5","±0.2","","±0.4","±0.4"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,384,584","2.40","","1,464,182","2.99","","600,643","21.8%","17.5%","60.7%","2,384,584","","27.6%","36.6%","27.5%","28.3%","10.1%","","70.6%","25.7%","3.7%","","66.4%","33.6%"
"        Margin of Error","","±7,807","±0.01","","±10,863","±0.02","","±11,047","±1.0","±0.7","±1.0","±7,807","","±0.5","±0.3","±0.2","±0.5","±0.3","","±0.5","±0.4","±0.2","","±0.5","±0.5"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,144,446","3.07","","1,144,446","3.04","","442,398","23.9%","19.0%","57.1%","1,144,446","","40.8%","38.0%","(X)","(X)","(X)","","87.1%","9.8%","3.2%","","83.3%","16.7%"
"        Margin of Error","","±10,963","±0.02","","±10,963","±0.02","","±8,160","±1.2","±0.9","±1.2","±10,963","","±0.7","±0.6","(X)","(X)","(X)","","±0.5","±0.5","±0.3","","±0.7","±0.7"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","109,859","3.01","","109,859","2.67","","51,446","20.7%","9.8%","69.4%","109,859","","54.4%","27.4%","(X)","(X)","(X)","","71.2%","22.0%","6.8%","","61.6%","38.4%"
"        Margin of Error","","±5,834","±0.08","","±5,834","±0.07","","±4,242","±4.2","±2.5","±3.9","±5,834","","±3.1","±2.5","(X)","(X)","(X)","","±2.7","±2.9","±1.6","","±2.9","±2.9"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","209,877","3.12","","209,877","2.91","","106,799","13.9%","14.9%","71.3%","209,877","","60.6%","30.3%","(X)","(X)","(X)","","67.0%","27.4%","5.6%","","55.3%","44.7%"
"        Margin of Error","","±7,736","±0.06","","±7,736","±0.06","","±5,682","±2.2","±2.1","±2.6","±7,736","","±1.9","±1.6","(X)","(X)","(X)","","±1.8","±1.7","±1.0","","±2.0","±2.0"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","920,402","1.33","","(X)","(X)","","(X)","(X)","(X)","(X)","920,402","","0.4%","37.4%","28.8%","73.4%","26.1%","","51.0%","45.6%","3.5%","","48.6%","51.4%"
"        Margin of Error","","±11,816","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±11,816","","±0.1","±0.7","±0.6","±1.0","±0.6","","±0.9","±0.9","±0.4","","±1.0","±1.0"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,433,635","2.45","","902,539","3.07","","367,812","21.9%","16.9%","61.1%","1,433,635","","27.8%","44.3%","33.4%","29.9%","12.7%","","65.7%","33.6%","0.7%","","66.3%","33.7%"
"        Margin of Error","","±7,120","±0.01","","±10,832","±0.03","","±8,037","±1.4","±1.2","±1.6","±7,120","","±0.6","±0.5","±0.3","±0.7","±0.4","","±0.6","±0.6","±0.1","","±0.7","±0.7"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","658,900","3.16","","658,900","3.13","","248,321","22.9%","18.2%","58.9%","658,900","","39.4%","45.4%","(X)","(X)","(X)","","85.4%","14.3%","0.3%","","84.9%","15.1%"
"        Margin of Error","","±11,174","±0.03","","±11,174","±0.03","","±6,928","±1.5","±1.5","±1.7","±11,174","","±0.9","±0.8","(X)","(X)","(X)","","±0.9","±0.8","±0.1","","±0.9","±0.9"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","70,662","3.12","","70,662","2.70","","29,653","26.5%","14.1%","59.4%","70,662","","48.2%","36.4%","(X)","(X)","(X)","","59.8%","38.6%","1.6%","","58.0%","42.0%"
"        Margin of Error","","±5,232","±0.12","","±5,232","±0.10","","±3,392","±5.6","±4.7","±6.9","±5,232","","±3.5","±3.7","(X)","(X)","(X)","","±3.7","±3.7","±1.3","","±4.0","±4.0"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","172,977","3.19","","172,977","2.98","","89,838","17.9%","14.3%","67.8%","172,977","","58.5%","31.5%","(X)","(X)","(X)","","57.0%","42.7%","0.3%","","50.7%","49.3%"
"        Margin of Error","","±7,101","±0.07","","±7,101","±0.06","","±5,480","±2.6","±2.5","±3.4","±7,101","","±2.3","±2.2","(X)","(X)","(X)","","±2.4","±2.3","±0.2","","±2.3","±2.3"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","531,096","1.23","","(X)","(X)","","(X)","(X)","(X)","(X)","531,096","","0.6%","48.1%","38.0%","80.8%","34.4%","","45.0%","53.8%","1.2%","","49.2%","50.8%"
"        Margin of Error","","±11,439","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±11,439","","±0.2","±1.3","±1.0","±1.0","±1.0","","±1.3","±1.3","±0.2","","±1.4","±1.4"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","402,334","2.47","","263,885","3.04","","94,985","21.2%","20.6%","58.2%","402,334","","27.3%","48.4%","36.4%","28.6%","12.9%","","77.8%","16.3%","5.9%","","74.1%","25.9%"
"        Margin of Error","","±3,985","±0.02","","±5,988","±0.05","","±4,305","±2.4","±2.5","±2.9","±3,985","","±1.1","±0.7","±0.5","±1.3","±0.8","","±1.0","±0.9","±0.6","","±1.2","±1.2"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","197,223","3.02","","197,223","3.00","","60,913","22.4%","21.8%","55.8%","197,223","","34.1%","49.4%","(X)","(X)","(X)","","90.2%","5.6%","4.2%","","88.2%","11.8%"
"        Margin of Error","","±5,836","±0.05","","±5,836","±0.05","","±3,653","±3.0","±3.1","±3.4","±5,836","","±1.6","±1.4","(X)","(X)","(X)","","±1.1","±0.9","±0.7","","±1.4","±1.4"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","19,368","3.20","","19,368","2.72","","10,146","25.1%","6.9%","68.0%","19,368","","59.9%","25.4%","(X)","(X)","(X)","","74.9%","17.5%","7.6%","","65.3%","34.7%"
"        Margin of Error","","±2,456","±0.23","","±2,456","±0.21","","±1,924","±10.7","±4.3","±10.4","±2,456","","±7.1","±5.3","(X)","(X)","(X)","","±7.7","±6.6","±4.9","","±7.1","±7.1"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","47,294","3.58","","47,294","3.32","","23,926","16.5%","23.5%","60.0%","47,294","","64.8%","36.2%","(X)","(X)","(X)","","70.5%","20.5%","9.0%","","53.5%","46.5%"
"        Margin of Error","","±3,829","±0.16","","±3,829","±0.15","","±3,030","±4.2","±6.1","±7.1","±3,829","","±4.3","±3.4","(X)","(X)","(X)","","±4.5","±3.7","±2.8","","±4.3","±4.3"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","138,449","1.22","","(X)","(X)","","(X)","(X)","(X)","(X)","138,449","","0.1%","54.4%","42.4%","83.2%","37.5%","","63.1%","30.0%","6.9%","","62.2%","37.8%"
"        Margin of Error","","±5,414","±0.03","","(X)","(X)","","(X)","(X)","(X)","(X)","±5,414","","±0.1","±2.0","±1.9","±1.9","±1.9","","±2.2","±2.1","±1.2","","±2.2","±2.2"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","326,970","1.94","","123,868","3.02","","48,986","29.8%","18.1%","52.0%","326,970","","16.6%","28.7%","21.7%","48.6%","11.2%","","32.5%","67.5%","0.0%","","41.0%","59.0%"
"        Margin of Error","","±3,481","±0.02","","±6,183","±0.09","","±3,944","±4.3","±4.0","±4.7","±3,481","","±1.3","±1.0","±0.6","±1.8","±0.8","","±1.3","±1.3","±0.1","","±1.5","±1.5"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","77,550","2.98","","77,550","2.95","","28,364","39.3%","17.1%","43.7%","77,550","","37.5%","30.2%","(X)","(X)","(X)","","59.9%","40.1%","0.0%","","65.5%","34.5%"
"        Margin of Error","","±4,586","±0.09","","±4,586","±0.08","","±2,789","±5.1","±5.0","±5.6","±4,586","","±2.8","±2.5","(X)","(X)","(X)","","±3.0","±3.0","±0.3","","±3.6","±3.6"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","7,600","2.78","","7,600","2.56","","2,457","26.8%","3.7%","69.6%","7,600","","40.7%","35.2%","(X)","(X)","(X)","","32.9%","67.1%","0.0%","","42.7%","57.3%"
"        Margin of Error","","±1,866","±0.35","","±1,866","±0.29","","±971","±18.1","±6.3","±18.9","±1,866","","±14.3","±12.2","(X)","(X)","(X)","","±11.6","±11.6","±3.0","","±12.5","±12.5"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","38,718","3.37","","38,718","3.24","","18,165","15.5%","21.8%","62.7%","38,718","","57.1%","34.6%","(X)","(X)","(X)","","35.9%","64.1%","0.0%","","32.6%","67.4%"
"        Margin of Error","","±3,644","±0.21","","±3,644","±0.20","","±3,144","±8.0","±7.8","±9.2","±3,644","","±5.9","±4.5","(X)","(X)","(X)","","±5.1","±5.1","±0.6","","±4.4","±4.4"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","203,102","1.24","","(X)","(X)","","(X)","(X)","(X)","(X)","203,102","","0.1%","26.7%","20.1%","78.2%","18.0%","","21.3%","78.7%","0.0%","","33.2%","66.8%"
"        Margin of Error","","±6,189","±0.02","","(X)","(X)","","(X)","(X)","(X)","(X)","±6,189","","±0.1","±1.4","±1.1","±1.6","±1.2","","±1.6","±1.6","±0.1","","±2.0","±2.0"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","8,826,394","2.47","","5,684,399","3.03","","2,025,162","20.6%","18.8%","60.6%","8,826,394","","25.9%","47.8%","37.8%","28.1%","12.9%","","64.4%","28.1%","7.6%","","67.2%","32.8%"
"        Margin of Error","","±23,013","±0.01","","±26,016","±0.01","","±20,524","±0.6","±0.6","±0.6","±23,013","","±0.3","±0.2","±0.2","±0.3","±0.2","","±0.3","±0.3","±0.2","","±0.3","±0.3"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,119,638","3.06","","4,119,638","3.03","","1,323,006","21.2%","19.2%","59.6%","4,119,638","","34.5%","49.7%","(X)","(X)","(X)","","77.9%","15.8%","6.3%","","80.6%","19.4%"
"        Margin of Error","","±29,189","±0.01","","±29,189","±0.01","","±18,382","±0.7","±0.8","±0.8","±29,189","","±0.4","±0.3","(X)","(X)","(X)","","±0.4","±0.3","±0.2","","±0.4","±0.4"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","460,440","3.20","","460,440","2.81","","198,015","26.4%","17.4%","56.2%","460,440","","50.8%","36.5%","(X)","(X)","(X)","","62.8%","27.6%","9.5%","","56.8%","43.2%"
"        Margin of Error","","±15,628","±0.05","","±15,628","±0.05","","±11,281","±2.4","±1.9","±2.5","±15,628","","±1.6","±1.5","(X)","(X)","(X)","","±1.4","±1.5","±0.9","","±1.3","±1.3"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,104,321","3.34","","1,104,321","3.11","","504,141","16.8%","18.3%","64.9%","1,104,321","","54.7%","37.0%","(X)","(X)","(X)","","60.0%","32.9%","7.1%","","51.9%","48.1%"
"        Margin of Error","","±20,482","±0.03","","±20,482","±0.03","","±13,071","±1.2","±1.1","±1.4","±20,482","","±1.0","±0.8","(X)","(X)","(X)","","±1.1","±0.9","±0.5","","±1.0","±1.0"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,141,995","1.28","","(X)","(X)","","(X)","(X)","(X)","(X)","3,141,995","","0.8%","50.8%","41.0%","79.0%","36.1%","","48.4%","42.5%","9.1%","","56.5%","43.5%"
